seg. ago. 17 16:07:58 2026 1786993678747 Debug: main.cpp int main(int, char **) "version " "2.21.6"
seg. ago. 17 16:07:58 2026 1786993678755 Debug: main.cpp int main(int, char **) "QZ fork release" "2.21.6-qz.1"
seg. ago. 17 16:07:58 2026 1786993678758 Debug: main.cpp int main(int, char **) "QZ build" "fccce0d" "Qt" 5.15.0 "on" "Android  (16.0)"
seg. ago. 17 16:07:58 2026 1786993678761 Debug: main.cpp int main(int, char **) "age" QVariant(QString, "35")
seg. ago. 17 16:07:58 2026 1786993678762 Debug: main.cpp int main(int, char **) "android_antbike" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678763 Debug: main.cpp int main(int, char **) "android_documents_folder" QVariant(QString, "true")
seg. ago. 17 16:07:58 2026 1786993678764 Debug: main.cpp int main(int, char **) "android_notification" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678764 Debug: main.cpp int main(int, char **) "android_wakelock" QVariant(QString, "true")
seg. ago. 17 16:07:58 2026 1786993678766 Debug: main.cpp int main(int, char **) "ant_bike_device_number" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678769 Debug: main.cpp int main(int, char **) "ant_cadence" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678772 Debug: main.cpp int main(int, char **) "ant_garmin" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678772 Debug: main.cpp int main(int, char **) "ant_heart" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678773 Debug: main.cpp int main(int, char **) "ant_heart_device_number" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678774 Debug: main.cpp int main(int, char **) "ant_speed_gain" QVariant(QString, "1")
seg. ago. 17 16:07:58 2026 1786993678774 Debug: main.cpp int main(int, char **) "ant_speed_offset" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678775 Debug: main.cpp int main(int, char **) "antbike" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678775 Debug: main.cpp int main(int, char **) "app_language" QVariant(QString, "auto")
seg. ago. 17 16:07:58 2026 1786993678776 Debug: main.cpp int main(int, char **) "app_opening" QVariant(QString, "4")
seg. ago. 17 16:07:58 2026 1786993678776 Debug: main.cpp int main(int, char **) "applewatch_as_treadmill_speed" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678777 Debug: main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678777 Debug: main.cpp int main(int, char **) "asviva_bike" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678777 Debug: main.cpp int main(int, char **) "atletica_lightspeed_treadmill" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678778 Debug: main.cpp int main(int, char **) "autolap_distance" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678778 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_cadence" QVariant(QString, "65")
seg. ago. 17 16:07:58 2026 1786993678779 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678779 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_cadence" QVariant(QString, "95")
seg. ago. 17 16:07:58 2026 1786993678779 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678780 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_enabled" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678780 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_cadence" QVariant(QString, "65")
seg. ago. 17 16:07:58 2026 1786993678781 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678781 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_cadence" QVariant(QString, "95")
seg. ago. 17 16:07:58 2026 1786993678782 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678782 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_profile" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678783 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_cadence" QVariant(QString, "65")
seg. ago. 17 16:07:58 2026 1786993678784 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678785 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_cadence" QVariant(QString, "95")
seg. ago. 17 16:07:58 2026 1786993678786 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_time" QVariant(QString, "2")
seg. ago. 17 16:07:58 2026 1786993678787 Debug: main.cpp int main(int, char **) "battery_service" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678788 Debug: main.cpp int main(int, char **) "bh_spada_2" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678789 Debug: main.cpp int main(int, char **) "bh_spada_2_watt" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678790 Debug: main.cpp int main(int, char **) "bike_cadence_sensor" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678790 Debug: main.cpp int main(int, char **) "bike_heartrate_service" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678790 Debug: main.cpp int main(int, char **) "bike_power_offset" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678791 Debug: main.cpp int main(int, char **) "bike_power_sensor" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678791 Debug: main.cpp int main(int, char **) "bike_resistance_gain_f" QVariant(QString, "1")
seg. ago. 17 16:07:58 2026 1786993678792 Debug: main.cpp int main(int, char **) "bike_resistance_offset" QVariant(QString, "4")
seg. ago. 17 16:07:58 2026 1786993678792 Debug: main.cpp int main(int, char **) "bike_resistance_start" QVariant(QString, "1")
seg. ago. 17 16:07:58 2026 1786993678793 Debug: main.cpp int main(int, char **) "bike_weight" QVariant(QString, "0")
seg. ago. 17 16:07:58 2026 1786993678793 Debug: main.cpp int main(int, char **) "bluetooth_30m_hangs" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678794 Debug: main.cpp int main(int, char **) "bluetooth_relaxed" QVariant(QString, "false")
seg. ago. 17 16:07:58 2026 1786993678794 Debug: main.cpp int main(int, char **) "cadence_gain" QVariant(QString, "1")
