seg. ago. 17 17:13:48 2026 1786997628531 Debug: main.cpp int main(int, char **) "version " "2.21.6"
seg. ago. 17 17:13:48 2026 1786997628534 Debug: main.cpp int main(int, char **) "QZ fork release" "2.21.6-qz.1"
seg. ago. 17 17:13:48 2026 1786997628536 Debug: main.cpp int main(int, char **) "QZ build" "29415ea" "Qt" 5.15.0 "on" "Android  (16.0)"
seg. ago. 17 17:13:48 2026 1786997628537 Debug: androidqlog.cpp void Java_org_cagnulen_qdomyoszwift_QLog_sendToQt(JNIEnv *, jclass, jint, jstring, jstring) [VERBOSE: "WearableMessageListenerService" ] "onConnectionFailed"
seg. ago. 17 17:13:48 2026 1786997628544 Debug: main.cpp int main(int, char **) "age" QVariant(QString, "35")
seg. ago. 17 17:13:48 2026 1786997628552 Debug: main.cpp int main(int, char **) "android_antbike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628553 Debug: main.cpp int main(int, char **) "android_documents_folder" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628555 Debug: main.cpp int main(int, char **) "android_notification" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628557 Debug: main.cpp int main(int, char **) "android_wakelock" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628559 Debug: main.cpp int main(int, char **) "ant_bike_device_number" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628565 Debug: main.cpp int main(int, char **) "ant_cadence" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628566 Debug: main.cpp int main(int, char **) "ant_garmin" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628568 Debug: main.cpp int main(int, char **) "ant_heart" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628569 Debug: main.cpp int main(int, char **) "ant_heart_device_number" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628572 Debug: main.cpp int main(int, char **) "ant_speed_gain" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628574 Debug: main.cpp int main(int, char **) "ant_speed_offset" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628575 Debug: main.cpp int main(int, char **) "antbike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628577 Debug: main.cpp int main(int, char **) "app_language" QVariant(QString, "auto")
seg. ago. 17 17:13:48 2026 1786997628579 Debug: main.cpp int main(int, char **) "app_opening" QVariant(QString, "4")
seg. ago. 17 17:13:48 2026 1786997628581 Debug: main.cpp int main(int, char **) "applewatch_as_treadmill_speed" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628584 Debug: main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628586 Debug: main.cpp int main(int, char **) "asviva_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628587 Debug: main.cpp int main(int, char **) "atletica_lightspeed_treadmill" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628588 Debug: main.cpp int main(int, char **) "autolap_distance" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628590 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_cadence" QVariant(QString, "65")
seg. ago. 17 17:13:48 2026 1786997628592 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_time" QVariant(QString, "2")
seg. ago. 17 17:13:48 2026 1786997628593 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_cadence" QVariant(QString, "95")
seg. ago. 17 17:13:48 2026 1786997628597 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_time" QVariant(QString, "2")
seg. ago. 17 17:13:48 2026 1786997628597 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_enabled" QVariant(QString, "false")
