seg. ago. 3 19:33:16 2026 1785796396780 Debug: main.cpp int main(int, char **) "version " "2.21.6"
seg. ago. 3 19:33:16 2026 1785796396785 Debug: main.cpp int main(int, char **) "age" QVariant(QString, "34")
seg. ago. 3 19:33:16 2026 1785796396786 Debug: main.cpp int main(int, char **) "android_antbike" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396792 Debug: main.cpp int main(int, char **) "android_daemon_mode" QVariant(QString, "true")
seg. ago. 3 19:33:16 2026 1785796396793 Debug: main.cpp int main(int, char **) "android_documents_folder" QVariant(QString, "true")
seg. ago. 3 19:33:16 2026 1785796396794 Debug: main.cpp int main(int, char **) "android_notification" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396799 Debug: main.cpp int main(int, char **) "android_wakelock" QVariant(QString, "true")
seg. ago. 3 19:33:16 2026 1785796396800 Debug: main.cpp int main(int, char **) "ant_bike_device_number" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396801 Debug: main.cpp int main(int, char **) "ant_cadence" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396802 Debug: main.cpp int main(int, char **) "ant_garmin" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396804 Debug: main.cpp int main(int, char **) "ant_heart" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396805 Debug: main.cpp int main(int, char **) "ant_heart_device_number" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396806 Debug: main.cpp int main(int, char **) "ant_speed_gain" QVariant(QString, "1")
seg. ago. 3 19:33:16 2026 1785796396807 Debug: main.cpp int main(int, char **) "ant_speed_offset" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396808 Debug: main.cpp int main(int, char **) "antbike" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396809 Debug: main.cpp int main(int, char **) "app_language" QVariant(QString, "auto")
seg. ago. 3 19:33:16 2026 1785796396810 Debug: main.cpp int main(int, char **) "app_opening" QVariant(QString, "14")
seg. ago. 3 19:33:16 2026 1785796396813 Debug: main.cpp int main(int, char **) "applewatch_as_treadmill_speed" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396814 Debug: main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396816 Debug: main.cpp int main(int, char **) "asviva_bike" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396817 Debug: main.cpp int main(int, char **) "atletica_lightspeed_treadmill" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396820 Debug: main.cpp int main(int, char **) "autolap_distance" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396821 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:33:16 2026 1785796396822 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396823 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:33:16 2026 1785796396824 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396825 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_enabled" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396826 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:33:16 2026 1785796396827 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396828 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:33:16 2026 1785796396829 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396829 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_profile" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396830 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:33:16 2026 1785796396831 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396832 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:33:16 2026 1785796396833 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:33:16 2026 1785796396834 Debug: main.cpp int main(int, char **) "battery_service" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396836 Debug: main.cpp int main(int, char **) "bh_spada_2" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396837 Debug: main.cpp int main(int, char **) "bh_spada_2_watt" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396838 Debug: main.cpp int main(int, char **) "bike_cadence_sensor" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396839 Debug: main.cpp int main(int, char **) "bike_heartrate_service" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396840 Debug: main.cpp int main(int, char **) "bike_power_offset" QVariant(QString, "0")
seg. ago. 3 19:33:16 2026 1785796396841 Debug: main.cpp int main(int, char **) "bike_power_sensor" QVariant(QString, "false")
seg. ago. 3 19:33:16 2026 1785796396843 Debug: main.cpp int main(int, char **) "bike_resistance_gain_f" QVariant(QString, "1")
seg. ago. 3 19:33:16 2026 1785796396844 Debug: main.cpp int main(int, char **) "bike_resistance_offset" QVariant(QString, "17")
seg. ago. 3 19:33:16 2026 1785796396845 Debug: main.cpp int main(int, char **) "bike_resistance_start" QVariant(QString, "1")
seg. ago. 3 19:33:16 2026 1785796396846 Debug: main.cpp int main(int, char **) "bike_weight" QVariant(QString, "0")
